,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
141,male,group D,some college,free/reduced,none,45,48,49
142,male,group D,associate's degree,standard,none,86,75,73
143,female,group D,high school,standard,none,77,87,86
144,male,group D,bachelor's degree,standard,none,64,58,58
145,male,group D,associate's degree,standard,none,88,83,80
146,female,group C,high school,standard,completed,84,97,95
147,male,group C,high school,standard,completed,75,77,75
148,male,group D,associate's degree,free/reduced,completed,74,77,77
149,female,group D,high school,free/reduced,none,51,65,66
150,female,group C,master's degree,free/reduced,none,55,66,64
151,female,group A,high school,free/reduced,none,57,71,71
152,male,group C,some college,standard,completed,66,70,69
153,female,group C,associate's degree,free/reduced,completed,56,69,68
154,male,group C,bachelor's degree,free/reduced,none,61,68,63
155,female,group C,bachelor's degree,free/reduced,completed,53,63,66
156,male,group C,some high school,standard,completed,50,48,41
157,female,group D,high school,standard,none,73,84,84
158,female,group D,associate's degree,free/reduced,completed,60,65,70
159,female,group E,associate's degree,standard,completed,77,86,87
160,male,group C,high school,free/reduced,none,69,62,52
161,male,group E,some college,standard,none,100,89,82
162,male,group D,master's degree,free/reduced,completed,79,67,75
163,male,group C,some high school,standard,none,73,65,61
164,male,group D,high school,standard,completed,92,80,80
165,female,group C,some college,standard,none,66,62,63
166,male,group B,some high school,standard,none,64,59,43
167,female,group E,some high school,standard,completed,64,76,81
168,male,group B,associate's degree,standard,none,62,66,55
169,female,group D,some college,standard,completed,57,73,74
170,female,group C,some college,standard,none,70,68,75
171,female,group C,some high school,free/reduced,none,32,56,51
172,female,group A,some high school,standard,completed,43,59,60
173,female,group A,high school,standard,completed,77,83,80
174,male,group E,some college,free/reduced,none,67,52,50
175,male,group B,high school,standard,none,75,71,73
176,female,group E,some high school,standard,none,77,80,79
177,female,group D,some high school,free/reduced,completed,36,48,55
178,female,group E,high school,free/reduced,none,64,63,68
179,male,group A,some high school,standard,none,69,65,60
180,female,group B,some college,standard,none,30,44,43
181,male,group D,some college,standard,completed,100,99,94
182,female,group E,associate's degree,standard,none,97,100,100
183,male,group C,bachelor's degree,free/reduced,completed,45,48,48
184,female,group B,bachelor's degree,standard,completed,54,69,70
185,female,group C,some college,standard,completed,36,47,52
186,female,group B,some college,free/reduced,none,46,65,66
187,male,group C,associate's degree,free/reduced,none,41,39,34
188,male,group D,some college,free/reduced,completed,43,53,52
189,male,group D,some college,standard,completed,89,78,87
190,female,group C,bachelor's degree,standard,none,67,75,74
191,female,group B,bachelor's degree,standard,none,64,79,76
192,female,group B,associate's degree,standard,completed,86,94,100
193,male,group E,associate's degree,standard,completed,94,78,85
194,female,group C,some high school,standard,none,63,66,58
195,female,group C,high school,free/reduced,none,64,73,73
196,female,group C,bachelor's degree,standard,none,80,80,75
197,female,group E,master's degree,standard,none,76,70,66
198,male,group D,some high school,free/reduced,none,75,72,78
199,female,group D,some high school,free/reduced,none,41,51,46
200,female,group E,master's degree,free/reduced,completed,88,100,98
201,male,group C,some high school,standard,none,66,59,57
202,male,group C,master's degree,standard,completed,71,76,75
203,male,group C,associate's degree,standard,none,74,65,64
204,male,group C,some college,standard,none,63,61,49
205,male,group C,associate's degree,standard,none,66,53,55
206,female,group E,high school,free/reduced,none,54,66,63
207,female,group D,bachelor's degree,standard,none,76,83,83
208,female,group D,some college,free/reduced,completed,74,86,80
209,female,group D,some high school,standard,none,77,83,84
210,male,group C,high school,standard,none,71,78,75
211,female,group E,high school,standard,none,90,89,91
212,male,group D,some college,standard,completed,100,84,85
213,female,group C,some college,standard,none,72,88,87
214,female,group C,master's degree,standard,none,84,84,86
215,female,group C,bachelor's degree,standard,completed,83,90,100
216,male,group E,master's degree,standard,none,73,82,76
217,male,group D,master's degree,free/reduced,none,92,87,86
218,male,group C,some high school,standard,completed,91,90,91
219,male,group C,some high school,standard,completed,56,58,50
220,male,group C,bachelor's degree,standard,completed,82,80,85
221,female,group A,associate's degree,standard,none,50,66,63
222,male,group C,some college,free/reduced,none,57,56,50
223,male,group D,high school,free/reduced,none,47,44,44
224,female,group C,high school,standard,completed,52,66,71
225,female,group C,some college,standard,none,67,73,76
226,female,group A,associate's degree,standard,none,46,59,52
227,male,group B,associate's degree,free/reduced,none,69,65,67
228,female,group C,some college,standard,none,78,79,75
229,female,group B,some college,free/reduced,none,47,62,57
230,female,group C,some college,free/reduced,none,65,72,70
231,male,group D,some high school,standard,none,63,60,54
232,female,group D,associate's degree,standard,completed,70,85,91
233,male,group C,bachelor's degree,standard,completed,82,79,85
234,male,group E,bachelor's degree,standard,completed,71,68,73
235,female,group D,high school,standard,completed,54,55,62
236,male,group C,bachelor's degree,standard,completed,87,86,84
237,female,group C,associate's degree,standard,completed,69,80,80
238,female,group C,bachelor's degree,free/reduced,none,67,72,70
239,male,group C,high school,free/reduced,none,58,46,47
240,male,group D,high school,standard,none,74,69,71
241,female,group C,associate's degree,standard,completed,73,84,81
242,male,group B,some college,standard,none,47,50,48
243,male,group C,associate's degree,free/reduced,none,52,57,56
244,female,group A,some college,free/reduced,completed,55,71,73
245,female,group C,bachelor's degree,free/reduced,completed,73,91,91
246,male,group D,high school,standard,none,55,63,59
247,female,group C,master's degree,standard,none,83,92,88
248,male,group B,bachelor's degree,free/reduced,none,48,53,44
249,male,group E,some college,standard,none,68,62,52
250,female,group C,bachelor's degree,free/reduced,completed,49,69,67
251,male,group A,master's degree,standard,none,68,63,58
252,male,group C,bachelor's degree,standard,none,61,62,58
253,female,group A,master's degree,standard,none,90,100,100
254,male,group E,some college,standard,none,63,53,50
255,male,group C,associate's degree,standard,none,63,53,48
256,male,group C,bachelor's degree,free/reduced,none,50,44,47
257,female,group B,associate's degree,standard,none,46,65,55
258,male,group C,some high school,standard,none,71,66,61
259,male,group D,some college,standard,none,82,79,75
260,female,group C,master's degree,free/reduced,none,58,77,72
261,female,group B,high school,standard,none,58,67,70
262,male,group C,some college,free/reduced,none,35,36,36
263,male,group E,some college,standard,none,99,89,88
264,female,group C,some college,standard,completed,69,77,75
265,female,group B,bachelor's degree,standard,none,86,85,87
266,female,group A,some college,free/reduced,none,51,67,66
267,female,group D,some college,free/reduced,none,77,91,87
268,male,group C,high school,standard,none,60,63,59
269,male,group D,high school,standard,none,62,57,55
270,female,group C,bachelor's degree,free/reduced,none,78,87,83
271,female,group B,high school,standard,none,46,60,51
272,male,group C,some college,free/reduced,none,51,54,43
273,male,group B,high school,free/reduced,none,60,63,56
274,female,group C,associate's degree,standard,none,81,92,85
275,female,group D,high school,standard,none,82,80,86
276,female,group C,some college,free/reduced,none,67,73,72
277,male,group D,some college,free/reduced,none,41,38,36
278,male,group D,associate's degree,free/reduced,completed,59,48,58
279,female,group A,high school,free/reduced,none,60,75,72
280,male,group C,some college,free/reduced,none,58,52,49
281,male,group B,associate's degree,standard,none,62,59,55
282,female,group B,some high school,free/reduced,none,47,63,58
283,male,group D,bachelor's degree,standard,none,81,72,77
284,female,group C,some high school,free/reduced,none,56,67,61
285,female,group D,high school,free/reduced,none,57,60,61
286,female,group E,high school,free/reduced,completed,46,57,51
287,male,group B,master's degree,free/reduced,none,70,73,74
288,male,group E,bachelor's degree,standard,none,92,80,77
289,female,group C,bachelor's degree,standard,none,72,82,78
290,female,group A,some high school,free/reduced,completed,59,73,78
291,male,group C,high school,standard,completed,72,68,71
292,male,group C,some high school,free/reduced,none,49,55,43
293,male,group D,some high school,standard,none,91,79,74
294,male,group D,associate's degree,standard,completed,73,81,84
295,female,group C,some high school,standard,none,65,70,69
296,male,group A,associate's degree,standard,completed,94,85,87
297,female,group C,some high school,free/reduced,completed,55,69,70
298,female,group B,associate's degree,standard,none,76,77,78
299,female,group D,high school,standard,none,60,72,65
300,female,group E,master's degree,standard,none,100,98,100
301,female,group D,bachelor's degree,standard,none,77,73,83
302,male,group C,high school,standard,none,85,83,69
303,female,group C,high school,standard,completed,72,76,80
304,male,group D,some college,standard,none,53,55,54
305,female,group D,high school,standard,none,80,73,77
306,female,group D,some college,standard,none,74,84,79
307,male,group D,high school,free/reduced,none,41,34,35
308,male,group E,some college,standard,none,78,68,64
309,male,group B,master's degree,free/reduced,none,65,64,64
310,female,group C,high school,free/reduced,none,33,48,43
311,female,group E,high school,standard,none,69,73,76
312,female,group C,some college,free/reduced,none,60,78,73
313,male,group E,associate's degree,standard,completed,92,92,87
314,male,group D,associate's degree,standard,completed,85,75,74
315,female,group B,high school,standard,none,59,72,64
316,female,group D,some college,standard,none,62,78,72
317,female,group E,high school,free/reduced,completed,71,78,78
318,male,group E,associate's degree,standard,completed,79,67,73
319,female,group E,high school,standard,none,81,91,86
320,female,group D,high school,standard,none,75,79,90
321,male,group D,associate's degree,free/reduced,none,64,56,56
322,male,group C,high school,standard,none,75,66,70
323,male,group E,high school,standard,none,74,61,59
324,female,group D,some college,standard,completed,30,46,50
325,male,group B,some high school,standard,completed,65,69,66
326,male,group E,some high school,standard,completed,88,85,74
327,female,group C,some college,standard,none,75,81,76
328,male,group C,high school,standard,none,92,84,79
329,female,group C,some college,standard,none,47,64,66
330,female,group D,some college,standard,completed,51,61,64
331,female,group E,some college,standard,none,65,81,80
332,male,group D,some college,free/reduced,completed,74,77,77
333,female,group D,some college,free/reduced,completed,40,56,50
334,male,group D,some high school,free/reduced,none,54,52,53
335,female,group C,bachelor's degree,standard,completed,61,70,71
336,female,group A,high school,standard,none,61,68,62
337,male,group C,some college,standard,none,50,45,44
338,male,group A,high school,standard,none,68,65,54
339,female,group A,some high school,free/reduced,none,37,47,35
340,male,group C,some college,free/reduced,completed,69,66,64
341,female,group A,associate's degree,standard,none,70,88,84
342,male,group C,some college,standard,none,79,81,77
343,female,group C,some college,standard,none,58,64,60
344,female,group D,some high school,standard,none,45,57,55
345,male,group D,master's degree,standard,none,92,84,84
346,male,group D,associate's degree,free/reduced,none,75,68,69
347,female,group A,associate's degree,free/reduced,none,77,88,87
348,male,group C,associate's degree,standard,none,68,62,68
349,male,group D,high school,standard,completed,100,89,87
350,male,group B,some high school,standard,none,64,64,61
351,male,group C,master's degree,standard,none,70,62,58
352,female,group C,some college,free/reduced,none,40,42,47
353,female,group D,some high school,standard,completed,78,86,93
354,female,group B,some high school,standard,none,47,55,53
355,male,group B,bachelor's degree,standard,none,59,63,61
356,male,group C,master's degree,standard,completed,84,78,79
357,male,group C,some high school,free/reduced,none,63,59,53
358,male,group B,associate's degree,standard,completed,77,88,91
359,male,group C,some college,standard,completed,87,79,77
360,female,group E,master's degree,free/reduced,none,69,66,68
361,male,group C,master's degree,standard,completed,78,69,74
362,male,group D,some high school,standard,completed,74,73,69
363,female,group D,some college,standard,completed,49,60,65
364,female,group C,high school,free/reduced,completed,73,91,94
365,male,group C,associate's degree,free/reduced,none,81,81,77
366,male,group D,master's degree,free/reduced,none,55,53,53
367,male,group C,some high school,standard,completed,74,71,72
368,male,group C,some high school,free/reduced,none,58,60,58
369,female,group D,high school,free/reduced,completed,56,71,72
370,female,group D,some high school,standard,none,63,77,69
371,male,group C,high school,standard,completed,79,79,82
372,male,group C,some high school,free/reduced,completed,63,63,61
373,male,group D,bachelor's degree,standard,none,67,66,59
374,female,group D,high school,standard,completed,73,86,90
375,female,group A,high school,standard,completed,67,73,68
376,female,group A,associate's degree,standard,completed,48,54,58
377,male,group C,associate's degree,standard,none,71,70,69
378,female,group D,high school,standard,none,85,93,95
379,female,group C,high school,standard,none,86,89,86
380,male,group C,master's degree,standard,completed,84,77,78
381,female,group D,associate's degree,free/reduced,none,48,59,58
382,female,group C,some college,standard,none,51,72,66
383,female,group C,some high school,standard,none,62,72,73
384,female,group D,some high school,free/reduced,completed,70,83,78
385,female,group D,some college,standard,completed,80,90,92
386,male,group D,associate's degree,free/reduced,none,45,41,41
387,female,group D,bachelor's degree,standard,none,95,100,100
388,female,group C,high school,standard,none,55,66,68
389,female,group C,high school,free/reduced,none,67,76,78
390,female,group C,associate's degree,free/reduced,none,59,73,76
391,male,group D,some high school,standard,completed,71,70,74
392,female,group D,bachelor's degree,free/reduced,none,61,61,67
393,male,group E,some high school,standard,completed,80,70,69
394,female,group C,bachelor's degree,standard,none,43,55,56
395,female,group B,some college,standard,completed,74,90,83
396,male,group A,high school,free/reduced,none,65,62,55
397,male,group C,some college,standard,none,60,52,45
398,female,group C,some college,standard,none,72,77,83
399,male,group D,associate's degree,free/reduced,none,76,75,78
400,male,group C,some college,standard,none,94,79,77
401,male,group A,some college,standard,completed,72,71,72
402,female,group D,some high school,free/reduced,none,56,65,62
403,male,group D,high school,free/reduced,completed,70,69,59
404,female,group E,high school,free/reduced,completed,45,50,53
405,female,group D,some high school,standard,none,67,80,82
406,male,group C,some high school,free/reduced,none,33,39,29
407,male,group B,bachelor's degree,standard,none,87,80,77
408,female,group D,some college,standard,completed,86,89,91
409,female,group E,associate's degree,free/reduced,none,59,66,61
410,female,group B,bachelor's degree,standard,completed,57,64,69
411,female,group E,associate's degree,standard,none,60,62,61
412,female,group C,some college,standard,completed,88,90,91
413,female,group C,some college,free/reduced,completed,60,86,86
414,female,group B,bachelor's degree,standard,none,61,70,76
415,male,group B,bachelor's degree,standard,none,98,83,87
416,female,group D,bachelor's degree,standard,none,50,60,63
417,male,group C,some high school,standard,none,82,75,66
418,female,group C,bachelor's degree,standard,completed,65,85,83
419,female,group B,high school,standard,completed,65,79,83
420,female,group C,some college,standard,completed,49,62,67
421,male,group D,master's degree,standard,none,71,70,77
422,female,group D,some college,free/reduced,completed,72,90,94
423,female,group C,some high school,standard,completed,77,96,92
424,female,group B,some college,standard,completed,63,81,80
425,female,group D,master's degree,standard,none,70,79,82
426,female,group D,associate's degree,standard,none,59,72,73
427,male,group B,associate's degree,standard,none,89,80,79
428,male,group C,some college,standard,none,91,74,70
429,male,group C,high school,standard,none,80,76,74
430,female,group C,bachelor's degree,standard,none,71,79,86
431,male,group D,high school,standard,none,64,49,50
432,female,group D,associate's degree,standard,none,63,74,74
433,male,group E,bachelor's degree,standard,none,88,84,78
434,male,group D,associate's degree,standard,none,63,59,56
435,male,group C,some college,free/reduced,none,63,72,65
436,female,group C,some high school,standard,completed,59,78,72
437,male,group D,master's degree,free/reduced,completed,96,100,100
438,male,group C,associate's degree,standard,completed,73,72,70
439,female,group E,some high school,standard,none,83,85,85
440,male,group D,bachelor's degree,standard,completed,72,82,83
441,female,group C,associate's degree,free/reduced,none,58,71,68
442,female,group D,master's degree,free/reduced,completed,86,100,100
443,female,group C,high school,free/reduced,none,65,79,68
444,female,group D,some college,standard,completed,56,69,73
445,male,group A,high school,free/reduced,completed,60,63,65
446,female,group C,some high school,standard,none,60,76,74
447,male,group C,some high school,standard,completed,49,56,45
448,male,group D,some high school,standard,none,73,65,57
449,male,group E,some college,standard,none,90,85,77
450,male,group C,some high school,standard,none,79,91,82
451,male,group A,some college,standard,none,93,82,87
452,male,group C,high school,standard,none,45,56,51
453,female,group E,bachelor's degree,free/reduced,none,71,73,74
454,male,group B,some college,standard,completed,68,62,62
455,male,group B,high school,standard,completed,49,32,34
456,male,group D,high school,free/reduced,none,44,36,39
457,female,group C,high school,standard,completed,60,74,76
458,male,group E,some college,free/reduced,none,67,70,63
459,male,group C,associate's degree,free/reduced,none,77,73,70
460,male,group C,associate's degree,free/reduced,completed,89,77,78
461,female,group E,some college,standard,none,78,77,73
462,female,group D,some high school,standard,completed,60,67,73
463,male,group B,bachelor's degree,free/reduced,none,72,65,58
464,female,group C,some high school,standard,none,58,72,66
465,female,group D,high school,standard,completed,68,74,77
466,male,group C,associate's degree,standard,none,68,58,56
467,male,group C,high school,standard,none,63,53,51
468,female,group E,associate's degree,standard,none,70,75,71
469,female,group C,high school,standard,none,58,65,59
470,male,group D,associate's degree,free/reduced,none,42,47,43
471,female,group E,high school,free/reduced,none,73,72,76
472,male,group E,master's degree,standard,none,95,90,84
473,male,group C,some college,standard,none,83,77,74
474,male,group C,high school,free/reduced,completed,56,49,53
475,female,group C,some college,standard,none,51,66,62
476,female,group C,some college,free/reduced,none,42,54,55
477,male,group C,associate's degree,standard,none,52,52,49
478,female,group E,high school,free/reduced,none,25,32,34
479,male,group A,associate's degree,standard,none,74,72,69
480,male,group B,some college,standard,none,62,55,54
481,female,group D,associate's degree,free/reduced,completed,65,72,73
482,female,group C,associate's degree,free/reduced,completed,51,62,65
483,male,group B,some high school,free/reduced,none,40,42,34
484,female,group D,master's degree,standard,none,52,62,63
485,female,group C,some high school,free/reduced,completed,52,58,58
486,male,group B,associate's degree,free/reduced,completed,75,80,77
487,female,group D,some college,standard,none,85,84,84
488,male,group E,bachelor's degree,standard,none,75,62,69
489,male,group C,associate's degree,standard,none,53,56,51
490,male,group C,some high school,standard,none,70,68,60
491,male,group C,high school,standard,none,82,75,71
492,male,group B,associate's degree,free/reduced,none,65,67,65
493,male,group C,associate's degree,free/reduced,completed,89,86,86
494,female,group B,associate's degree,free/reduced,none,46,63,61
495,male,group D,master's degree,standard,completed,92,94,94
496,male,group D,some college,free/reduced,none,66,68,60
497,male,group E,some college,free/reduced,none,64,54,52
498,male,group D,some college,standard,none,71,60,65
499,female,group D,some high school,standard,completed,80,75,81
500,female,group B,high school,standard,none,25,29,37
501,female,group B,high school,standard,none,59,74,67
502,male,group C,some college,standard,none,49,45,39
503,female,group C,some college,free/reduced,none,53,62,60
504,female,group D,associate's degree,standard,none,87,100,100
505,male,group C,associate's degree,free/reduced,none,82,82,79
506,female,group B,some high school,standard,none,51,60,67
507,male,group C,some college,free/reduced,none,43,42,39
508,male,group C,some high school,free/reduced,completed,46,51,51
509,male,group D,some high school,standard,none,68,61,59
510,female,group C,some high school,free/reduced,none,40,59,50
511,male,group D,associate's degree,standard,completed,76,74,77
512,male,group D,associate's degree,standard,none,71,64,59
513,male,group C,associate's degree,standard,none,66,73,69
514,female,group C,bachelor's degree,standard,none,82,100,99
515,male,group A,some college,standard,none,58,66,58
516,male,group C,high school,standard,none,51,37,37
517,female,group C,associate's degree,free/reduced,none,57,76,70
518,female,group D,some high school,free/reduced,completed,61,73,76
519,male,group A,some high school,free/reduced,none,17,12,6
520,female,group B,associate's degree,standard,none,49,59,57
521,female,group D,associate's degree,standard,none,75,92,96
522,male,group B,bachelor's degree,standard,none,79,70,71
523,female,group C,some college,free/reduced,none,44,49,47
524,male,group D,some college,standard,none,54,50,50
525,male,group E,high school,standard,none,76,62,53
526,male,group B,bachelor's degree,free/reduced,none,67,51,60
527,male,group E,associate's degree,standard,none,97,87,81
528,male,group B,master's degree,free/reduced,completed,59,62,65
529,female,group B,some college,standard,completed,52,72,70
530,female,group B,some high school,free/reduced,completed,61,69,71
531,male,group C,bachelor's degree,standard,none,59,53,50
532,female,group B,some high school,free/reduced,none,39,56,52
533,female,group B,some high school,standard,completed,37,54,48
534,male,group C,bachelor's degree,free/reduced,none,83,84,82
535,female,group B,high school,free/reduced,completed,39,52,55
536,male,group D,high school,standard,none,94,91,84
537,female,group C,some high school,standard,none,70,73,72
538,male,group D,some college,free/reduced,none,49,53,55
539,female,group C,some high school,standard,completed,84,100,99
540,female,group D,bachelor's degree,standard,completed,54,61,63
541,female,group B,high school,standard,completed,59,75,73
542,male,group C,master's degree,standard,none,54,58,55
543,female,group D,some college,standard,completed,74,89,95
544,female,group D,associate's degree,standard,none,60,64,71
545,male,group B,associate's degree,standard,none,67,67,65
546,female,group E,some college,free/reduced,completed,51,62,60
547,male,group B,some high school,standard,completed,69,62,60
548,female,group A,high school,free/reduced,none,62,75,71
549,female,group E,bachelor's degree,standard,none,64,71,68
550,male,group C,associate's degree,standard,none,61,61,64
551,female,group C,some high school,free/reduced,completed,53,69,64
552,female,group B,bachelor's degree,free/reduced,none,31,51,41
553,female,group D,high school,free/reduced,completed,56,61,61
554,female,group C,some college,standard,none,50,55,55
555,male,group D,some college,standard,completed,52,49,55
556,male,group A,associate's degree,standard,none,78,77,75
557,female,group C,some college,free/reduced,completed,47,72,70
558,male,group E,some high school,free/reduced,none,50,56,51
559,female,group D,some high school,standard,none,49,58,55
560,male,group C,some high school,free/reduced,none,31,43,31
561,male,group C,high school,standard,completed,98,92,91
562,male,group B,bachelor's degree,standard,none,97,97,93
563,male,group B,high school,standard,none,87,76,78
564,female,group C,some high school,free/reduced,completed,53,65,65
565,male,group C,some high school,free/reduced,completed,48,56,54
566,male,group D,associate's degree,standard,completed,78,80,83
567,male,group E,associate's degree,standard,completed,94,91,89
568,male,group A,some high school,free/reduced,none,59,58,58
569,male,group D,some high school,standard,none,77,66,67
570,male,group C,some college,standard,none,56,41,33
571,male,group D,some college,standard,completed,81,73,77
572,female,group D,master's degree,free/reduced,completed,89,100,100
573,male,group D,some college,standard,none,78,73,78
574,male,group B,bachelor's degree,free/reduced,none,80,86,73
575,male,group E,some high school,standard,completed,63,60,58
576,male,group E,bachelor's degree,standard,none,90,79,75
577,female,group A,master's degree,standard,none,53,61,57
578,male,group D,some high school,free/reduced,completed,57,59,55
579,male,group D,some college,standard,none,64,66,56
580,female,group E,some college,free/reduced,none,59,70,69
581,female,group D,some high school,standard,completed,55,52,57
