"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","some college","standard","none","65","57","55"
"male","group A","some high school","standard","completed","72","67","70"
"female","group D","high school","standard","none","38","45","49"
"female","group B","some college","standard","completed","83","88","94"
"male","group D","some college","standard","none","58","64","60"
"male","group E","some high school","standard","completed","74","63","59"
"female","group B","some college","standard","completed","68","79","78"
"male","group C","some college","standard","none","70","68","66"
"female","group C","some high school","free/reduced","none","53","72","66"
"male","group B","some college","free/reduced","completed","65","64","58"
"female","group D","associate's degree","standard","none","86","92","88"
"male","group C","associate's degree","standard","none","66","51","51"
"male","group B","high school","standard","completed","84","80","82"
"male","group D","some college","standard","none","71","67","69"
"female","group A","master's degree","standard","none","65","75","76"
"female","group B","high school","standard","completed","65","73","82"
"female","group B","master's degree","standard","completed","58","69","65"
"male","group D","high school","standard","none","74","70","68"
"female","group C","associate's degree","free/reduced","none","47","52","49"
"female","group D","some college","free/reduced","completed","49","60","66"
"female","group C","high school","standard","none","67","75","78"
"female","group E","high school","standard","completed","71","69","83"
"female","group C","associate's degree","free/reduced","none","49","70","62"
"male","group C","high school","free/reduced","completed","42","41","35"
"male","group D","associate's degree","standard","none","59","62","62"
"female","group D","bachelor's degree","standard","none","70","78","80"
"male","group C","some high school","standard","none","49","49","53"
"male","group E","master's degree","free/reduced","none","97","89","82"
"male","group B","associate's degree","free/reduced","none","54","46","49"
"male","group C","some college","standard","none","62","57","60"
"male","group D","high school","standard","none","49","40","36"
"male","group D","high school","standard","none","70","67","55"
"female","group E","some high school","standard","none","85","94","85"
"male","group D","high school","free/reduced","none","50","55","51"
"female","group B","high school","standard","completed","63","67","73"
"male","group D","high school","standard","completed","68","66","66"
"female","group C","some high school","free/reduced","completed","45","67","62"
"female","group E","master's degree","standard","none","74","72","74"
"male","group E","high school","free/reduced","none","52","51","51"
"female","group E","some college","standard","completed","100","100","100"
"male","group A","some college","free/reduced","completed","62","68","73"
"female","group D","some college","free/reduced","completed","66","72","80"
"female","group D","high school","standard","none","72","82","80"
"male","group E","master's degree","standard","none","73","66","68"
"male","group C","high school","standard","completed","63","55","59"
"female","group C","associate's degree","standard","none","62","72","72"
"female","group E","high school","standard","none","71","82","77"
"male","group D","associate's degree","standard","none","83","71","73"
"female","group C","high school","standard","none","59","62","62"
"male","group D","some college","standard","none","53","45","46"
"female","group E","high school","free/reduced","none","77","74","71"
"female","group D","associate's degree","free/reduced","completed","52","73","73"
"male","group C","some high school","standard","none","68","61","59"
"female","group C","some high school","standard","completed","75","81","81"
"male","group B","high school","free/reduced","completed","47","55","47"
"female","group B","bachelor's degree","free/reduced","none","79","84","82"
"male","group C","associate's degree","standard","completed","72","74","73"
"female","group D","some high school","standard","completed","42","58","61"
"female","group B","some high school","standard","completed","65","71","71"
"male","group E","some high school","standard","completed","81","68","74"
"female","group B","some high school","standard","none","74","88","81"
"male","group B","some high school","standard","none","45","51","44"
"female","group C","associate's degree","standard","completed","70","79","86"
"male","group A","associate's degree","standard","completed","62","50","57"
"male","group D","master's degree","standard","none","70","67","66"
"male","group A","some college","free/reduced","none","49","45","36"
"male","group C","high school","standard","none","52","45","42"
"female","group C","associate's degree","standard","completed","77","89","89"
"male","group E","high school","free/reduced","none","67","66","57"
"female","group C","some college","standard","none","56","63","61"
"female","group A","some high school","free/reduced","none","36","51","46"
"male","group A","high school","standard","completed","87","76","76"
"female","group E","some college","free/reduced","none","60","83","75"
"female","group E","associate's degree","standard","none","75","80","70"
"male","group A","some college","free/reduced","none","61","68","57"
"male","group C","master's degree","standard","none","50","59","53"
"male","group D","associate's degree","free/reduced","completed","69","72","74"
"male","group B","some high school","free/reduced","none","50","52","42"
"male","group B","some high school","standard","none","76","70","64"
"male","group C","some high school","standard","completed","58","62","57"
"male","group C","high school","standard","completed","69","71","71"
"male","group A","some college","standard","completed","63","64","58"
"female","group C","some college","standard","completed","70","82","84"
"male","group D","some college","standard","none","86","72","72"
"male","group E","master's degree","free/reduced","completed","100","92","95"
"female","group D","some college","free/reduced","none","73","83","81"
"male","group C","some college","free/reduced","none","66","63","59"
"male","group D","some college","free/reduced","completed","71","69","68"
"female","group A","bachelor's degree","standard","none","74","88","86"
"female","group C","associate's degree","free/reduced","none","80","85","84"
"male","group B","associate's degree","free/reduced","completed","83","86","80"
"male","group D","bachelor's degree","free/reduced","none","57","44","47"
"female","group E","master's degree","standard","none","68","66","71"
"male","group C","some high school","free/reduced","completed","60","63","57"
"male","group B","master's degree","standard","completed","74","63","68"
"male","group A","master's degree","standard","none","60","60","59"
"male","group E","associate's degree","standard","completed","100","97","100"
"female","group D","some college","standard","none","64","70","74"
"male","group B","associate's degree","free/reduced","none","54","52","47"
"male","group D","associate's degree","free/reduced","none","70","69","69"
"male","group E","high school","standard","none","98","88","83"
"female","group C","high school","standard","none","57","65","65"
"male","group A","some college","free/reduced","none","42","44","40"
"male","group C","some high school","standard","none","50","41","41"
"female","group B","some college","standard","none","66","68","69"
"male","group D","high school","free/reduced","none","61","54","54"
"female","group D","some college","free/reduced","none","44","66","61"
"male","group D","some high school","standard","none","55","67","62"
"female","group C","some college","standard","completed","86","97","97"
"male","group E","associate's degree","standard","completed","68","58","64"
"female","group B","associate's degree","standard","none","72","77","85"
"female","group C","bachelor's degree","standard","none","91","95","95"
"male","group D","some college","standard","completed","68","65","67"
"female","group A","some college","free/reduced","none","48","72","68"
"male","group E","some college","standard","completed","100","94","94"
"male","group D","some college","free/reduced","none","71","77","80"
"male","group C","bachelor's degree","free/reduced","none","62","61","61"
"female","group B","associate's degree","free/reduced","none","39","51","49"
"female","group C","some high school","standard","completed","71","79","84"
"female","group D","high school","free/reduced","none","59","61","68"
"female","group D","associate's degree","standard","none","91","93","88"
"female","group E","associate's degree","standard","none","63","70","64"
"female","group B","bachelor's degree","standard","none","63","65","67"
"female","group D","associate's degree","standard","none","58","59","60"
"male","group D","master's degree","free/reduced","none","43","41","39"
"female","group C","some high school","standard","none","50","53","51"
"male","group C","bachelor's degree","free/reduced","completed","69","63","63"
"male","group D","some high school","standard","none","71","57","55"
"female","group D","some college","standard","completed","87","96","100"
"female","group D","some high school","standard","none","47","56","54"
"female","group C","some high school","standard","none","69","71","66"
"male","group C","some college","standard","none","28","42","28"
"female","group A","bachelor's degree","standard","none","87","100","95"
"male","group C","associate's degree","standard","none","80","69","73"
"female","group D","some high school","free/reduced","none","51","63","61"
"male","group B","associate's degree","standard","completed","89","83","83"
"female","group C","high school","standard","none","61","57","59"
"female","group D","bachelor's degree","free/reduced","none","55","75","71"
"female","group E","bachelor's degree","free/reduced","none","79","96","93"
"female","group C","master's degree","standard","none","58","59","71"
"female","group B","bachelor's degree","free/reduced","completed","87","97","98"
"female","group B","associate's degree","standard","none","85","89","97"
"female","group B","high school","standard","none","66","66","62"
"male","group C","some college","standard","none","58","58","48"
"male","group C","high school","standard","completed","65","53","62"
"male","group D","some college","standard","none","66","62","61"
"male","group C","bachelor's degree","free/reduced","none","77","66","62"
"female","group C","high school","standard","none","66","78","69"
"female","group D","some high school","standard","none","55","55","55"
"male","group B","some college","standard","none","53","55","47"
"male","group D","bachelor's degree","standard","none","56","51","44"
"male","group B","some high school","free/reduced","none","52","58","57"
"male","group D","some college","free/reduced","completed","56","60","57"
"female","group D","some college","standard","none","35","47","54"
"male","group A","master's degree","standard","completed","68","72","78"
"male","group A","some high school","free/reduced","none","51","46","43"
"male","group C","associate's degree","standard","completed","100","97","100"
"female","group B","bachelor's degree","standard","completed","85","96","92"
"male","group B","some high school","standard","completed","66","65","65"
"male","group A","bachelor's degree","standard","completed","85","85","90"
"male","group A","some high school","standard","completed","62","65","65"
"male","group B","some college","standard","none","58","64","59"
"female","group A","some college","standard","none","63","67","65"
"female","group D","bachelor's degree","standard","completed","68","88","85"
"male","group D","some college","free/reduced","completed","46","61","56"
"male","group C","associate's degree","standard","none","87","75","71"
"male","group E","bachelor's degree","standard","completed","91","75","80"
"female","group B","bachelor's degree","standard","completed","81","85","89"
"female","group B","associate's degree","standard","none","56","66","73"
"female","group D","high school","standard","none","74","79","81"
"male","group B","high school","free/reduced","none","51","52","50"
"female","group A","some college","free/reduced","none","50","65","61"
"female","group E","high school","standard","completed","82","86","87"
"male","group C","associate's degree","standard","none","70","55","58"
"female","group A","associate's degree","free/reduced","completed","55","63","58"
"male","group C","some college","standard","completed","66","61","61"
"male","group C","some college","standard","completed","66","60","52"
"male","group D","some college","standard","none","72","64","62"
"male","group B","associate's degree","standard","none","71","57","60"
"male","group C","associate's degree","standard","completed","81","77","81"
"male","group B","some college","free/reduced","none","54","51","51"
"female","group B","some high school","standard","none","74","79","74"
"female","group A","some college","standard","none","45","52","55"
"female","group E","some college","standard","none","62","61","57"
"male","group E","bachelor's degree","standard","none","83","67","67"
"male","group C","associate's degree","standard","none","56","50","49"
"female","group C","high school","standard","none","47","69","62"
"female","group C","some college","free/reduced","none","62","75","73"
"male","group D","some high school","free/reduced","none","50","40","38"
"male","group E","high school","free/reduced","none","76","74","72"
"female","group D","some high school","standard","none","60","63","67"
"male","group B","associate's degree","free/reduced","completed","78","83","73"
"female","group D","associate's degree","standard","completed","70","92","95"
"male","group B","master's degree","standard","none","72","66","65"
"male","group C","high school","standard","none","51","38","38"
"female","group D","high school","free/reduced","none","39","53","48"
"female","group D","master's degree","free/reduced","none","55","73","72"
"female","group D","bachelor's degree","standard","none","78","100","94"
"female","group B","some high school","free/reduced","completed","43","57","60"
"female","group C","associate's degree","standard","completed","100","100","100"
"female","group C","bachelor's degree","free/reduced","completed","55","72","72"
"male","group C","some high school","free/reduced","completed","60","67","67"
"female","group C","associate's degree","standard","completed","87","94","100"
"male","group D","associate's degree","standard","completed","100","92","100"
"male","group D","some college","standard","completed","86","92","93"
"male","group C","high school","free/reduced","none","59","49","55"
"male","group C","master's degree","free/reduced","completed","55","62","57"
"female","group B","bachelor's degree","standard","none","51","56","56"
"male","group C","high school","standard","none","55","43","44"
"male","group C","some high school","standard","none","56","51","48"
"male","group C","bachelor's degree","free/reduced","none","76","70","62"
"female","group D","bachelor's degree","free/reduced","none","55","65","64"
"male","group C","master's degree","standard","none","81","66","64"
"male","group D","associate's degree","free/reduced","none","79","80","85"
"male","group C","some college","standard","none","58","57","46"
"female","group C","some high school","standard","none","56","63","67"
"female","group D","some college","standard","none","75","82","85"
"male","group E","high school","standard","none","83","74","68"
"male","group D","some high school","free/reduced","none","77","77","75"
"female","group E","bachelor's degree","free/reduced","completed","66","82","83"
"male","group D","some high school","standard","completed","80","81","80"
"female","group C","associate's degree","standard","none","66","72","70"
"female","group D","some high school","standard","none","72","78","77"
"male","group B","bachelor's degree","standard","completed","69","65","67"
"male","group C","some college","free/reduced","none","51","48","43"
"female","group C","master's degree","free/reduced","none","61","71","68"
"female","group E","some college","free/reduced","none","67","85","80"
"female","group B","associate's degree","free/reduced","none","48","60","58"
"male","group C","high school","standard","none","71","62","57"
"male","group D","associate's degree","standard","none","70","71","72"
"male","group D","master's degree","standard","completed","67","75","80"
"male","group E","bachelor's degree","standard","none","96","96","88"
"male","group B","bachelor's degree","standard","completed","73","67","74"
"female","group C","some college","free/reduced","completed","63","77","80"
"female","group D","associate's degree","standard","none","74","77","76"
"male","group B","associate's degree","standard","none","68","71","63"
"female","group E","some college","standard","completed","90","98","96"
"male","group B","some college","free/reduced","none","73","67","66"
"male","group B","some college","free/reduced","none","57","60","48"
"female","group C","some high school","free/reduced","none","63","69","69"
"female","group B","some college","standard","none","88","86","84"
"male","group C","some college","standard","none","68","55","53"
"male","group D","associate's degree","free/reduced","completed","53","51","56"
"female","group D","some high school","free/reduced","none","57","80","73"
"female","group D","some college","standard","completed","57","66","71"
"female","group E","some college","free/reduced","none","61","71","69"
"female","group C","some college","standard","none","72","87","86"
"female","group C","associate's degree","standard","none","78","91","82"
"male","group C","bachelor's degree","standard","completed","89","100","98"
"male","group D","some college","standard","none","86","78","79"
"male","group B","associate's degree","standard","none","67","63","67"
"male","group E","associate's degree","free/reduced","none","53","56","47"
"female","group B","some college","free/reduced","none","35","46","44"
"female","group D","some high school","free/reduced","completed","48","68","62"
"male","group E","master's degree","standard","none","54","53","51"
"female","group C","bachelor's degree","free/reduced","completed","60","63","75"
"male","group A","high school","free/reduced","none","62","50","48"
"male","group D","bachelor's degree","standard","none","77","76","74"
"female","group E","some high school","standard","none","81","84","76"
"female","group B","some college","free/reduced","none","61","77","69"
"male","group C","bachelor's degree","standard","none","65","67","61"
"male","group D","associate's degree","standard","none","95","87","85"
"male","group C","associate's degree","standard","none","61","66","69"
"male","group C","some college","standard","none","63","60","54"
"female","group C","high school","free/reduced","completed","56","63","67"
"male","group E","associate's degree","free/reduced","none","80","80","74"
"female","group D","some college","standard","none","54","60","59"
"male","group A","some high school","free/reduced","none","53","51","44"
"male","group D","some college","standard","completed","85","85","82"
"male","group D","high school","standard","none","90","84","82"
"female","group C","high school","standard","none","78","85","82"
"male","group B","some high school","free/reduced","none","45","49","46"
"female","group B","associate's degree","free/reduced","none","72","74","82"
"male","group E","some college","free/reduced","none","66","58","55"
"male","group A","bachelor's degree","free/reduced","none","50","65","59"
"male","group D","high school","free/reduced","none","71","79","72"
"male","group A","some high school","standard","completed","72","76","74"
"male","group C","some college","free/reduced","none","75","69","67"
"female","group D","high school","standard","completed","58","58","69"
"male","group D","some college","standard","completed","91","87","91"
"male","group D","some college","standard","completed","90","73","76"
"female","group C","high school","standard","none","59","66","62"
"female","group B","high school","free/reduced","none","66","70","66"
"female","group B","some high school","standard","completed","66","77","85"
"male","group D","associate's degree","free/reduced","none","64","59","54"
"male","group C","some high school","standard","none","62","47","51"
"female","group B","bachelor's degree","standard","none","57","80","75"
"male","group C","associate's degree","standard","completed","82","73","72"
"male","group C","master's degree","standard","none","74","74","69"
"male","group B","some college","standard","none","73","80","77"
"male","group C","associate's degree","standard","none","58","60","54"
"male","group D","associate's degree","standard","none","95","92","93"
"male","group B","associate's degree","standard","none","71","63","62"
"male","group D","high school","standard","none","65","68","58"
"female","group C","master's degree","standard","none","73","86","89"
"female","group A","associate's degree","standard","completed","61","79","82"
"male","group D","some high school","standard","none","76","77","74"
"male","group D","associate's degree","free/reduced","completed","81","78","77"
"female","group C","master's degree","standard","completed","75","88","88"
"female","group C","associate's degree","standard","none","72","81","81"
"male","group D","high school","free/reduced","completed","68","73","65"
"male","group D","some college","standard","completed","75","72","72"
"male","group C","bachelor's degree","standard","none","94","86","83"
"female","group C","high school","standard","completed","78","92","95"
"male","group C","high school","standard","none","65","66","62"
"female","group C","bachelor's degree","free/reduced","completed","60","81","79"
"male","group B","some high school","free/reduced","none","55","50","48"
"male","group C","some college","standard","none","85","74","72"
"female","group E","some college","standard","none","85","81","87"
"female","group E","bachelor's degree","standard","none","81","93","88"
"female","group C","some high school","standard","none","58","64","64"
"female","group E","high school","free/reduced","completed","51","58","56"
"male","group E","bachelor's degree","standard","completed","90","85","83"
"male","group D","high school","standard","none","67","72","64"
"male","group E","some college","standard","completed","67","62","66"
"male","group D","associate's degree","standard","completed","87","84","82"
"male","group B","associate's degree","standard","none","90","82","77"
"female","group A","some college","standard","completed","56","76","78"
"female","group E","high school","standard","completed","81","81","86"
"male","group D","some college","standard","none","91","78","82"
"male","group C","high school","standard","none","80","75","74"
"female","group E","high school","free/reduced","none","37","43","44"
"female","group D","high school","standard","none","62","69","67"
"male","group C","some college","standard","none","64","58","53"
"male","group C","some high school","standard","completed","77","73","70"
"female","group C","bachelor's degree","standard","none","61","61","65"
"female","group D","some college","standard","none","54","64","68"
"male","group D","some high school","standard","completed","56","58","54"
"female","group C","some college","free/reduced","none","76","83","85"
"female","group C","high school","standard","none","62","68","65"
"male","group B","some high school","standard","none","52","50","41"
"male","group D","some college","standard","none","73","82","74"
"male","group C","high school","standard","completed","72","76","69"
"male","group C","some college","standard","none","58","55","50"
"female","group D","some college","standard","none","63","66","65"
"female","group B","bachelor's degree","standard","completed","71","73","74"
"male","group C","bachelor's degree","standard","none","94","87","88"
"female","group D","high school","standard","none","87","90","87"
"female","group D","high school","standard","completed","50","60","62"
"female","group D","some high school","standard","none","67","65","66"
"female","group D","some college","free/reduced","none","64","75","74"
"female","group D","associate's degree","standard","none","57","56","59"
"female","group B","bachelor's degree","free/reduced","completed","56","79","77"
"male","group D","some college","standard","none","65","71","65"
"female","group D","bachelor's degree","standard","completed","63","77","82"
"female","group E","associate's degree","standard","none","56","60","61"
"male","group C","some high school","standard","none","65","74","65"
"male","group B","associate's degree","standard","none","67","65","62"
"male","group E","high school","standard","completed","83","74","70"
"female","group D","associate's degree","standard","none","63","72","71"
"male","group C","associate's degree","free/reduced","completed","56","59","61"
"male","group D","high school","free/reduced","none","50","46","48"
"female","group A","some high school","standard","none","70","71","75"
"female","group C","high school","free/reduced","none","48","64","61"
"male","group C","high school","standard","completed","76","72","69"
"male","group A","high school","standard","none","91","79","79"
"male","group B","some college","standard","completed","74","82","81"
"female","group C","some college","standard","none","80","86","84"
"male","group B","master's degree","standard","none","87","82","80"
"female","group E","high school","standard","none","85","95","85"
"female","group C","some college","free/reduced","none","43","51","42"
"female","group C","some high school","free/reduced","none","42","48","46"
"male","group C","bachelor's degree","standard","none","83","80","78"
"male","group B","high school","standard","none","90","82","76"
"female","group C","associate's degree","free/reduced","none","43","54","52"
"male","group C","bachelor's degree","free/reduced","none","46","51","52"
"female","group D","high school","standard","none","65","72","77"
"male","group B","associate's degree","standard","none","67","71","58"
"male","group C","high school","free/reduced","completed","62","64","61"
"male","group B","high school","standard","completed","72","82","76"
"male","group B","associate's degree","standard","none","76","80","73"
"male","group C","some high school","free/reduced","none","58","58","51"
"female","group D","some college","free/reduced","none","60","74","67"
"female","group A","some college","free/reduced","none","58","54","56"
"female","group B","high school","standard","completed","79","93","92"
"male","group A","associate's degree","standard","none","63","70","63"
"female","group C","high school","standard","completed","58","62","70"
"female","group C","high school","free/reduced","none","56","73","65"
"male","group D","some high school","free/reduced","completed","64","69","75"
"female","group D","some college","standard","completed","62","76","72"
"female","group C","some high school","free/reduced","completed","39","51","56"
"female","group A","high school","standard","none","56","69","65"
"male","group D","bachelor's degree","standard","none","89","82","86"
"female","group D","some college","standard","completed","48","54","62"
"female","group B","high school","standard","none","57","65","63"
"male","group A","some college","standard","none","74","75","71"
"female","group C","bachelor's degree","free/reduced","completed","43","56","59"
"male","group B","associate's degree","standard","completed","93","81","80"
"female","group B","some college","free/reduced","none","65","81","74"
"male","group C","some high school","standard","none","54","49","46"
"male","group D","bachelor's degree","standard","completed","98","100","100"
"female","group E","some high school","free/reduced","none","50","60","58"
"male","group D","some high school","standard","none","66","63","57"
"female","group C","high school","standard","completed","83","80","83"
"male","group D","some college","standard","completed","59","54","54"
"female","group B","high school","free/reduced","none","42","46","47"
"male","group C","associate's degree","standard","none","56","58","52"
"female","group D","associate's degree","standard","none","78","84","85"
"male","group A","some college","standard","completed","75","74","70"
"female","group C","bachelor's degree","standard","completed","54","61","71"
"male","group D","master's degree","standard","completed","87","76","76"
"female","group D","some college","free/reduced","completed","61","82","84"
"male","group D","high school","standard","completed","89","83","85"
"female","group A","associate's degree","free/reduced","completed","58","68","70"
"female","group E","some high school","standard","none","69","62","63"
"male","group C","some high school","standard","completed","84","74","73"
"male","group E","associate's degree","standard","none","100","90","90"
"female","group D","some college","free/reduced","completed","52","65","67"
"female","group E","some high school","standard","none","87","88","80"
"male","group D","master's degree","standard","completed","71","62","72"
"male","group D","associate's degree","standard","none","57","55","52"
"female","group B","associate's degree","standard","completed","84","85","89"
"female","group B","some high school","free/reduced","completed","53","67","66"
"female","group B","some high school","free/reduced","completed","75","82","83"
"male","group D","associate's degree","standard","none","77","70","74"
"female","group C","bachelor's degree","free/reduced","none","59","72","66"
"male","group D","some high school","free/reduced","completed","39","45","45"
"male","group D","some high school","standard","completed","92","90","92"
"female","group C","some high school","standard","none","56","65","60"
"male","group E","master's degree","free/reduced","completed","75","77","79"
"female","group E","bachelor's degree","standard","none","71","72","77"
"female","group D","high school","standard","completed","80","78","86"
"female","group D","high school","free/reduced","none","67","84","79"
"female","group E","some high school","standard","completed","63","64","65"
"female","group C","some high school","standard","completed","52","66","65"
"male","group D","high school","standard","none","85","74","76"
"female","group D","associate's degree","standard","none","88","95","91"
"male","group B","associate's degree","standard","none","75","70","61"
"male","group C","associate's degree","standard","completed","72","64","69"
"female","group B","some high school","standard","none","72","76","78"
"male","group C","high school","free/reduced","none","49","45","40"
"female","group B","bachelor's degree","standard","completed","43","62","60"
"female","group C","some college","standard","completed","56","66","60"
"male","group A","master's degree","standard","none","92","81","75"
"female","group D","some high school","standard","none","52","61","60"
"female","group B","bachelor's degree","standard","completed","69","78","77"
"female","group D","some college","standard","completed","94","95","100"
"female","group C","associate's degree","standard","none","67","72","78"
"male","group C","some high school","free/reduced","completed","59","59","55"
"female","group B","some high school","standard","none","79","87","89"
"male","group D","some high school","standard","none","57","52","48"
"male","group E","some high school","standard","none","75","64","59"
"female","group D","high school","standard","completed","59","73","69"
"female","group C","some high school","free/reduced","none","33","54","38"
"female","group C","some college","free/reduced","none","51","70","66"
"female","group D","high school","standard","completed","69","81","85"
"female","group D","some high school","standard","completed","64","78","77"
"male","group D","some college","standard","completed","82","73","79"
"female","group A","associate's degree","standard","completed","71","79","74"
"male","group C","some high school","standard","completed","84","77","74"
"female","group C","associate's degree","standard","none","57","66","64"
"female","group B","master's degree","free/reduced","none","59","69","71"
"female","group D","some college","standard","none","85","93","89"
"male","group D","high school","free/reduced","completed","77","76","76"
"male","group A","master's degree","standard","none","72","73","68"
"female","group C","bachelor's degree","standard","completed","62","58","65"
"male","group B","some college","standard","completed","80","82","77"
"female","group A","some college","free/reduced","completed","52","62","60"
"female","group C","high school","free/reduced","none","30","30","34"
"female","group D","some high school","standard","completed","82","82","86"
"female","group D","associate's degree","free/reduced","none","54","65","62"
"male","group B","some high school","standard","completed","70","77","75"
"female","group A","some college","free/reduced","none","37","46","47"
"male","group D","some high school","free/reduced","completed","49","49","56"
"male","group D","some high school","standard","none","82","75","68"
"female","group C","high school","standard","none","77","89","85"
"female","group C","bachelor's degree","standard","none","92","91","88"
"male","group D","high school","standard","completed","73","69","65"
"female","group C","some college","standard","none","54","57","52"
"male","group C","associate's degree","standard","none","76","70","73"
"male","group E","high school","standard","completed","90","70","74"
"female","group C","bachelor's degree","free/reduced","none","32","46","42"
"female","group C","high school","standard","completed","78","86","83"
"male","group B","associate's degree","standard","none","85","86","80"
"female","group E","associate's degree","standard","none","85","96","92"
"male","group D","some high school","free/reduced","none","58","57","50"
"male","group A","bachelor's degree","standard","none","53","48","49"
"male","group E","some college","free/reduced","completed","75","75","68"
"female","group D","some college","free/reduced","none","50","58","59"
"female","group E","bachelor's degree","standard","none","44","45","48"
"female","group E","some high school","standard","completed","94","89","99"
"male","group D","some high school","standard","completed","90","79","81"
"male","group C","bachelor's degree","standard","none","77","67","67"
"female","group B","some college","standard","completed","80","89","91"
"female","group D","some college","standard","none","56","75","75"
"female","group D","high school","free/reduced","none","57","67","57"
"female","group B","associate's degree","standard","none","71","81","72"
"female","group D","some high school","standard","completed","70","77","80"
"male","group B","some college","standard","completed","86","84","80"
"female","group D","some college","free/reduced","none","71","96","91"
"female","group D","some high school","standard","none","67","62","68"
"male","group C","bachelor's degree","standard","none","78","69","73"
"female","group E","associate's degree","free/reduced","none","70","76","72"
"male","group B","bachelor's degree","standard","completed","86","85","90"
"female","group C","some college","free/reduced","none","32","45","44"
"female","group C","master's degree","free/reduced","none","74","87","83"
"female","group B","some high school","free/reduced","completed","58","64","61"
"female","group A","high school","standard","none","68","77","74"
"female","group E","associate's degree","free/reduced","none","90","97","87"
"male","group D","associate's degree","free/reduced","none","61","64","59"
"male","group D","associate's degree","free/reduced","none","43","56","55"
"male","group D","high school","standard","none","46","45","43"
"male","group E","some high school","standard","none","70","61","51"
"female","group B","associate's degree","free/reduced","none","81","80","79"
"female","group D","high school","standard","completed","83","89","95"
"male","group A","bachelor's degree","free/reduced","none","57","52","49"
"male","group B","high school","standard","completed","76","72","71"
"female","group B","high school","standard","none","53","67","64"
"male","group C","bachelor's degree","free/reduced","completed","56","61","59"
"male","group D","some high school","standard","completed","41","42","47"
"female","group C","bachelor's degree","free/reduced","none","28","36","35"
"female","group B","some high school","standard","none","51","56","57"
"male","group C","high school","standard","completed","96","85","76"
"male","group D","some high school","standard","none","73","58","59"
"male","group D","high school","free/reduced","none","34","37","30"
"female","group A","master's degree","free/reduced","completed","74","86","92"
