"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group B","some college","free/reduced","none","71","78","65"
"female","group E","some college","free/reduced","completed","56","66","62"
"male","group D","high school","free/reduced","none","68","58","62"
"female","group A","bachelor's degree","standard","none","57","60","65"
"female","group C","some high school","standard","none","62","80","71"
"male","group C","some high school","standard","completed","84","71","79"
"female","group E","high school","free/reduced","none","68","77","73"
"male","group C","some college","standard","none","77","80","70"
"female","group A","some college","free/reduced","none","43","58","61"
"male","group B","bachelor's degree","standard","none","77","69","71"
"male","group B","some college","standard","completed","76","71","71"
"male","group A","some high school","standard","completed","80","86","83"
"female","group D","high school","standard","completed","97","100","100"
"female","group C","high school","standard","none","65","77","72"
"female","group D","associate's degree","free/reduced","none","50","55","61"
"female","group D","bachelor's degree","free/reduced","completed","76","95","93"
"female","group D","associate's degree","standard","none","75","85","83"
"male","group B","master's degree","free/reduced","completed","63","64","57"
"male","group B","master's degree","standard","none","71","77","73"
"female","group E","associate's degree","standard","completed","86","90","93"
"male","group B","some college","free/reduced","none","31","38","34"
"female","group A","some college","free/reduced","none","43","43","51"
"male","group E","bachelor's degree","standard","none","77","72","75"
"female","group E","associate's degree","free/reduced","none","71","65","69"
"female","group D","some college","standard","none","87","91","92"
"female","group B","high school","free/reduced","none","3","27","25"
"female","group C","associate's degree","free/reduced","completed","69","78","79"
"female","group D","high school","free/reduced","none","61","73","68"
"female","group C","high school","free/reduced","completed","71","80","80"
"female","group A","associate's degree","standard","none","77","79","77"
"male","group C","high school","standard","none","75","81","73"
"female","group D","some college","standard","none","79","96","90"
"male","group D","some high school","standard","none","68","53","54"
"female","group C","associate's degree","standard","completed","55","66","68"
"male","group D","some high school","standard","completed","65","58","61"
"female","group B","some high school","standard","completed","27","46","46"
"female","group E","high school","free/reduced","completed","79","98","95"
"male","group E","some college","free/reduced","none","82","75","80"
"female","group D","high school","standard","none","30","40","41"
"female","group C","associate's degree","standard","completed","83","90","94"
"male","group B","some college","free/reduced","completed","59","62","61"
"female","group C","associate's degree","free/reduced","completed","56","75","74"
"female","group B","high school","standard","none","64","74","68"
"male","group C","associate's degree","standard","none","80","81","78"
"male","group B","some college","free/reduced","none","76","77","70"
"female","group B","some college","standard","none","59","70","66"
"female","group B","some high school","free/reduced","none","45","52","55"
"female","group B","some high school","free/reduced","none","32","48","44"
"female","group D","master's degree","free/reduced","none","63","65","72"
"female","group C","bachelor's degree","standard","none","62","69","67"
"female","group C","associate's degree","standard","none","81","94","92"
"male","group D","bachelor's degree","standard","none","86","78","81"
"female","group D","bachelor's degree","standard","completed","75","94","97"
"male","group E","bachelor's degree","free/reduced","none","82","78","74"
"female","group C","master's degree","free/reduced","completed","55","68","69"
"male","group B","high school","standard","none","56","48","49"
"female","group D","high school","free/reduced","completed","64","84","91"
"male","group D","associate's degree","standard","none","78","69","73"
"male","group D","high school","standard","none","84","84","77"
"male","group E","some college","standard","none","91","89","82"
"male","group D","high school","standard","none","71","63","64"
"male","group D","associate's degree","free/reduced","none","60","56","60"
"male","group D","some college","standard","completed","58","57","65"
"female","group D","master's degree","standard","completed","71","74","87"
"female","group D","master's degree","free/reduced","completed","55","63","70"
"female","group D","some high school","standard","none","72","80","78"
"male","group D","some college","standard","none","62","61","65"
"male","group C","some high school","standard","none","43","43","40"
"female","group B","associate's degree","standard","completed","75","80","89"
"female","group B","some college","standard","completed","62","73","77"
"male","group D","some college","standard","completed","81","78","73"
"female","group D","master's degree","free/reduced","completed","70","68","76"
"male","group B","associate's degree","standard","none","75","64","58"
"female","group C","some high school","free/reduced","completed","55","77","78"
"female","group C","high school","free/reduced","none","48","51","51"
"male","group B","high school","standard","none","45","46","44"
"female","group B","some high school","free/reduced","completed","81","82","82"
"female","group E","high school","free/reduced","none","61","71","71"
"male","group C","high school","standard","none","92","86","81"
"male","group D","bachelor's degree","standard","none","68","64","68"
"female","group E","some high school","standard","completed","74","77","81"
"male","group B","high school","standard","none","53","59","56"
"male","group C","bachelor's degree","free/reduced","completed","54","55","60"
"male","group D","master's degree","standard","none","100","92","90"
"male","group C","high school","standard","none","65","60","49"
"male","group C","some high school","standard","none","74","74","70"
"female","group C","some college","standard","none","55","64","62"
"male","group C","associate's degree","standard","none","74","69","63"
"female","group D","some high school","standard","none","66","71","64"
"male","group C","associate's degree","free/reduced","completed","77","73","76"
"female","group D","associate's degree","standard","none","77","80","79"
"male","group C","associate's degree","standard","none","74","72","72"
"male","group E","some college","standard","completed","86","81","72"
"male","group C","master's degree","free/reduced","completed","77","97","93"
"male","group C","some high school","standard","completed","73","80","65"
"male","group E","high school","standard","none","69","60","49"
"male","group E","associate's degree","standard","none","70","71","68"
"female","group C","bachelor's degree","free/reduced","completed","70","84","86"
"male","group E","some college","free/reduced","none","57","47","49"
"female","group C","some college","free/reduced","none","51","59","61"
"female","group B","high school","standard","none","54","72","64"
"male","group C","high school","free/reduced","none","44","34","28"
"male","group D","bachelor's degree","standard","completed","77","77","80"
"female","group A","some high school","standard","completed","49","65","59"
"male","group C","bachelor's degree","standard","completed","75","68","69"
"male","group D","some college","standard","none","86","87","82"
"female","group D","some high school","standard","completed","79","80","85"
"female","group D","bachelor's degree","free/reduced","none","75","79","83"
"male","group C","associate's degree","standard","none","79","76","70"
"male","group C","associate's degree","standard","completed","95","94","95"
"male","group C","some college","free/reduced","none","58","55","52"
"female","group B","some high school","free/reduced","none","71","77","75"
"male","group D","some college","standard","none","81","77","72"
"male","group C","bachelor's degree","standard","none","86","81","81"
"male","group E","associate's degree","standard","completed","99","85","89"
"male","group A","associate's degree","standard","completed","73","73","74"
"male","group C","some high school","standard","none","80","77","75"
"male","group C","some college","free/reduced","completed","74","91","81"
"female","group E","some high school","standard","completed","86","80","83"
"female","group A","some college","standard","completed","58","61","73"
"female","group D","some college","standard","completed","71","82","87"
"female","group C","some college","standard","none","59","69","64"
"male","group E","some college","free/reduced","completed","75","69","67"
"male","group E","some high school","standard","none","56","54","46"
"male","group C","associate's degree","standard","completed","70","68","66"
"female","group D","some high school","free/reduced","completed","52","65","72"
"female","group B","some high school","free/reduced","none","34","44","51"
"male","group B","high school","standard","none","85","86","80"
"male","group D","high school","standard","completed","76","65","71"
"female","group C","associate's degree","free/reduced","completed","67","73","77"
"male","group D","some college","standard","completed","98","94","88"
"female","group C","some high school","standard","completed","62","66","72"
"female","group A","bachelor's degree","free/reduced","none","42","52","54"
"female","group C","master's degree","free/reduced","none","56","64","62"
"female","group B","some high school","standard","none","58","67","68"
"female","group C","some college","free/reduced","completed","61","74","72"
"male","group C","associate's degree","standard","completed","90","90","91"
"female","group D","associate's degree","standard","completed","61","58","67"
"male","group C","high school","standard","none","86","84","82"
"female","group C","some college","standard","completed","60","68","68"
"female","group D","master's degree","free/reduced","none","60","66","74"
"male","group C","high school","standard","completed","86","81","83"
"male","group C","master's degree","standard","none","93","97","87"
"female","group B","high school","standard","completed","83","99","97"
"female","group B","bachelor's degree","free/reduced","none","35","55","57"
"female","group D","some high school","standard","none","55","73","67"
"female","group D","high school","standard","completed","65","71","73"
"female","group B","bachelor's degree","free/reduced","completed","69","75","75"
"female","group A","some college","free/reduced","none","50","69","72"
"male","group C","some college","standard","none","64","55","50"
"male","group C","associate's degree","standard","completed","72","66","63"
"male","group B","associate's degree","standard","completed","64","57","58"
"female","group C","some high school","standard","none","60","74","65"
"female","group A","high school","standard","completed","53","64","67"
"male","group D","high school","free/reduced","completed","74","73","77"
"male","group B","associate's degree","standard","completed","70","67","63"
"female","group C","some college","standard","none","27","35","31"
"female","group B","high school","free/reduced","completed","67","76","75"
"female","group A","some college","standard","completed","70","75","75"
"female","group D","bachelor's degree","standard","none","89","92","99"
"male","group C","master's degree","free/reduced","completed","72","67","70"
"female","group B","some high school","standard","none","62","70","75"
"male","group C","some high school","standard","none","53","57","54"
"male","group E","some college","standard","none","71","64","61"
"female","group A","master's degree","standard","none","55","70","68"
"female","group A","bachelor's degree","free/reduced","none","46","59","57"
"male","group E","bachelor's degree","standard","none","63","60","56"
"male","group C","associate's degree","free/reduced","none","40","52","45"
"female","group A","bachelor's degree","standard","none","44","52","55"
"female","group C","some college","standard","completed","28","43","44"
"male","group C","some college","free/reduced","none","53","49","46"
"male","group C","some college","standard","none","78","63","57"
"female","group C","some high school","standard","none","66","79","77"
"female","group B","some college","free/reduced","none","47","51","52"
"male","group B","some college","standard","completed","54","45","53"
"male","group D","some college","standard","completed","87","91","92"
"female","group B","master's degree","standard","none","66","77","76"
"female","group C","high school","standard","none","49","55","53"
"female","group D","bachelor's degree","standard","none","79","84","88"
"male","group E","some high school","free/reduced","none","64","73","63"
"female","group A","high school","standard","none","67","66","71"
"female","group B","bachelor's degree","standard","none","84","100","94"
"male","group D","some college","standard","none","71","61","60"
"male","group E","some college","standard","none","72","59","52"
"male","group C","high school","standard","none","77","64","59"
"female","group B","master's degree","free/reduced","none","49","53","56"
"male","group D","some college","standard","none","56","53","54"
"male","group C","some college","free/reduced","none","72","71","71"
"male","group E","some high school","free/reduced","completed","83","80","79"
"female","group B","associate's degree","standard","completed","70","89","84"
"male","group C","high school","free/reduced","none","37","50","39"
"male","group E","high school","standard","none","79","74","70"
"female","group E","some college","free/reduced","none","63","66","64"
"male","group D","master's degree","standard","none","83","73","76"
"male","group A","associate's degree","standard","completed","74","70","72"
"male","group C","high school","free/reduced","none","37","45","29"
"male","group C","bachelor's degree","standard","none","59","48","49"
"male","group C","some college","free/reduced","none","51","46","47"
"female","group C","some high school","standard","none","50","62","63"
"male","group C","associate's degree","standard","none","80","78","69"
"female","group D","associate's degree","standard","completed","80","90","96"
"male","group D","some college","standard","completed","70","68","72"
"male","group C","some college","standard","none","66","73","65"
"female","group D","some high school","standard","none","71","73","67"
"female","group C","high school","standard","completed","80","92","87"
"male","group C","some college","standard","completed","64","65","63"
"male","group E","some high school","standard","none","81","87","75"
"female","group C","master's degree","standard","completed","84","87","95"
"male","group C","high school","standard","none","68","62","59"
"female","group A","associate's degree","standard","none","69","75","79"
"female","group E","some college","standard","completed","87","79","88"
"female","group B","some college","free/reduced","none","50","71","70"
"female","group B","associate's degree","standard","none","73","76","76"
"male","group B","associate's degree","standard","none","82","78","72"
"male","group C","bachelor's degree","standard","none","68","70","67"
"female","group D","associate's degree","free/reduced","completed","70","86","91"
"male","group C","some college","standard","none","71","55","61"
"female","group C","high school","standard","none","49","59","57"
"male","group B","high school","standard","none","64","61","52"
"female","group B","some college","standard","none","65","82","76"
"male","group E","some college","standard","completed","100","100","100"
"male","group C","associate's degree","standard","none","75","83","78"
"male","group C","some high school","standard","completed","61","39","47"
"male","group D","some college","standard","completed","79","82","84"
"male","group E","some high school","standard","completed","88","74","71"
"male","group D","some college","free/reduced","completed","79","76","81"
"female","group E","some college","free/reduced","completed","74","77","77"
"female","group C","high school","free/reduced","completed","55","71","73"
"male","group C","some high school","standard","none","47","39","38"
"male","group E","bachelor's degree","free/reduced","none","95","86","87"
"female","group E","some college","free/reduced","none","62","72","65"
"female","group C","some college","standard","none","66","72","70"
"female","group C","master's degree","free/reduced","none","71","73","71"
"female","group B","some college","standard","none","72","75","79"
"male","group C","some high school","standard","none","69","58","58"
"male","group B","associate's degree","standard","completed","78","83","76"
"male","group E","some college","free/reduced","none","52","58","56"
"male","group C","high school","free/reduced","none","63","51","57"
"female","group C","some high school","standard","completed","64","71","74"
"male","group C","high school","standard","completed","62","64","66"
"male","group E","master's degree","standard","completed","92","92","91"
"male","group D","some college","standard","completed","91","87","90"
"female","group A","bachelor's degree","standard","none","88","88","90"
"female","group C","high school","standard","none","74","77","73"
"male","group E","some college","free/reduced","none","76","62","51"
"male","group E","high school","standard","none","71","59","54"
"male","group C","some college","free/reduced","none","29","40","24"
"male","group D","bachelor's degree","standard","none","81","72","72"
"female","group D","high school","standard","none","87","100","96"
"female","group C","high school","standard","none","46","66","63"
"male","group B","some college","free/reduced","none","67","67","60"
"female","group B","associate's degree","standard","none","59","67","62"
"female","group B","some college","standard","none","52","65","63"
"male","group C","bachelor's degree","free/reduced","completed","46","42","43"
"male","group C","some college","standard","completed","58","58","55"
"female","group C","bachelor's degree","free/reduced","none","50","58","54"
"female","group A","associate's degree","standard","none","50","67","70"
"male","group E","associate's degree","standard","none","81","81","82"
"male","group B","high school","standard","completed","80","77","70"
"female","group A","high school","free/reduced","none","56","68","70"
"female","group E","high school","standard","none","49","59","54"
"female","group E","high school","free/reduced","none","44","55","51"
"male","group E","some high school","standard","completed","73","73","74"
"male","group B","some college","free/reduced","none","55","58","55"
"male","group D","some high school","standard","completed","77","67","71"
"male","group C","some college","free/reduced","completed","45","45","39"
"male","group B","some high school","free/reduced","completed","64","68","55"
"female","group D","some college","standard","completed","76","82","84"
"female","group B","associate's degree","free/reduced","completed","77","96","95"
"female","group E","some high school","standard","none","85","82","81"
"male","group B","associate's degree","free/reduced","none","61","51","45"
"female","group C","high school","standard","none","74","71","73"
"female","group D","some high school","standard","none","68","65","71"
"female","group C","some college","free/reduced","completed","66","82","82"
"female","group D","some college","standard","none","75","75","80"
"male","group D","some college","standard","none","75","82","73"
"female","group D","some college","free/reduced","none","50","56","55"
"female","group D","some college","standard","completed","77","78","83"
"female","group C","bachelor's degree","standard","completed","59","78","84"
"male","group C","some college","standard","none","71","67","63"
"male","group C","bachelor's degree","free/reduced","none","73","78","77"
"male","group C","high school","free/reduced","none","35","36","29"
"female","group C","some college","standard","completed","89","97","89"
"female","group B","associate's degree","free/reduced","none","49","63","63"
"female","group C","some high school","standard","none","55","65","63"
"female","group B","associate's degree","standard","none","49","57","60"
"male","group B","some college","standard","none","84","93","85"
"female","group A","master's degree","standard","none","86","96","90"
"female","group D","some college","standard","none","83","82","90"
"male","group B","some college","standard","completed","93","92","91"
"female","group B","bachelor's degree","free/reduced","completed","72","87","94"
"female","group C","some college","standard","none","68","77","78"
"female","group C","some college","standard","completed","89","100","99"
"female","group D","bachelor's degree","standard","none","60","81","79"
"male","group E","some college","standard","none","92","72","71"
"female","group C","associate's degree","standard","none","82","96","91"
"male","group D","bachelor's degree","free/reduced","completed","65","65","68"
"female","group D","some high school","standard","completed","67","83","88"
"male","group E","some college","standard","none","93","87","83"
"female","group D","high school","free/reduced","none","70","87","80"
"female","group C","associate's degree","free/reduced","none","64","65","69"
"male","group B","high school","standard","none","51","45","46"
"female","group D","some college","standard","none","58","58","62"
"female","group C","some high school","free/reduced","none","42","59","57"
"male","group C","master's degree","standard","completed","68","72","68"
"female","group B","associate's degree","standard","completed","73","64","70"
"female","group D","some high school","standard","none","73","78","79"
"female","group E","some college","standard","none","80","77","72"
"male","group C","some college","standard","completed","99","88","90"
"male","group A","high school","standard","completed","83","84","77"
"male","group A","some college","standard","none","63","57","54"
"female","group E","bachelor's degree","standard","none","72","78","85"
"male","group D","associate's degree","free/reduced","none","79","81","80"
"female","group C","some high school","free/reduced","none","45","55","50"
"female","group C","some college","standard","none","45","51","54"
"male","group C","some college","standard","none","76","80","69"
"female","group A","bachelor's degree","standard","none","75","75","79"
"male","group C","bachelor's degree","standard","none","50","45","49"
"male","group C","high school","standard","completed","42","50","41"
"female","group C","high school","standard","none","49","53","57"
"male","group B","some college","standard","none","40","37","37"
"male","group D","high school","free/reduced","none","60","56","55"
"male","group A","some high school","standard","completed","84","77","75"
"female","group C","high school","standard","none","68","76","78"
"male","group C","high school","standard","completed","82","71","72"
"male","group E","some high school","standard","none","92","82","73"
"male","group B","some high school","free/reduced","completed","63","74","63"
"female","group C","associate's degree","free/reduced","none","64","71","69"
"female","group D","some college","free/reduced","none","60","68","75"
"female","group B","some college","standard","none","64","65","65"
"male","group B","some high school","free/reduced","completed","48","49","49"
"male","group C","associate's degree","free/reduced","none","21","20","14"
"male","group C","associate's degree","free/reduced","none","61","52","48"
"female","group C","associate's degree","free/reduced","none","47","58","62"
"male","group D","high school","standard","none","71","64","63"
"female","group B","some college","standard","none","46","58","55"
"male","group B","some college","free/reduced","completed","72","75","72"
"female","group B","some college","standard","completed","68","82","81"
"male","group C","some college","standard","none","85","84","81"
"male","group C","associate's degree","free/reduced","none","62","59","57"
"male","group E","some high school","standard","completed","53","59","55"
"male","group E","high school","standard","completed","79","83","81"
"male","group E","some high school","free/reduced","completed","55","57","53"
"female","group D","some college","standard","none","64","71","73"
"male","group C","some high school","free/reduced","none","43","41","39"
"female","group D","high school","free/reduced","completed","58","70","75"
"male","group D","bachelor's degree","standard","completed","99","96","90"
"male","group E","high school","free/reduced","completed","73","63","66"
"female","group B","high school","standard","none","74","79","70"
"female","group D","high school","free/reduced","completed","33","46","50"
"male","group C","some college","free/reduced","completed","47","57","58"
"female","group E","master's degree","standard","completed","78","78","78"
"female","group E","some high school","free/reduced","none","57","67","57"
"female","group C","master's degree","standard","completed","72","86","89"
"female","group B","associate's degree","standard","completed","54","64","69"
"female","group B","associate's degree","free/reduced","none","43","63","55"
"male","group C","bachelor's degree","standard","none","76","66","66"
"male","group E","associate's degree","standard","none","78","78","65"
"female","group C","some college","standard","none","70","80","70"
"female","group E","high school","free/reduced","none","73","85","74"
"female","group D","associate's degree","standard","none","79","85","78"
"male","group E","high school","standard","none","92","82","76"
"male","group C","some college","standard","completed","89","81","83"
"female","group C","some college","standard","none","66","78","68"
"female","group A","some college","standard","none","57","66","66"
"female","group C","some high school","free/reduced","none","51","67","62"
"male","group C","associate's degree","free/reduced","none","38","37","32"
"female","group B","associate's degree","free/reduced","none","69","86","76"
"male","group C","associate's degree","standard","completed","83","80","77"
"female","group A","bachelor's degree","free/reduced","none","42","61","56"
"female","group A","master's degree","free/reduced","none","68","80","74"
"male","group C","high school","standard","none","77","76","68"
"female","group B","some college","standard","completed","76","90","94"
"female","group E","associate's degree","standard","completed","81","82","81"
"male","group A","associate's degree","standard","none","80","85","76"
"female","group C","some high school","standard","none","62","69","66"
"male","group C","bachelor's degree","standard","completed","62","61","60"
"female","group D","some college","standard","completed","62","72","80"
"male","group E","master's degree","free/reduced","completed","97","88","87"
"male","group D","some college","free/reduced","completed","67","68","63"
"male","group C","some high school","standard","none","69","62","64"
"male","group E","bachelor's degree","standard","none","88","82","82"
"female","group A","high school","standard","none","77","84","78"
"male","group A","bachelor's degree","standard","none","72","73","70"
"male","group C","some college","standard","none","75","74","70"
"male","group E","associate's degree","standard","none","82","83","83"
"male","group C","high school","standard","none","87","87","69"
"female","group C","bachelor's degree","standard","none","84","91","91"
"female","group D","some high school","free/reduced","none","45","61","62"
"male","group D","associate's degree","free/reduced","none","60","63","66"
"female","group D","high school","standard","none","64","72","66"
"female","group D","high school","standard","none","71","73","75"
"male","group D","high school","standard","none","75","70","66"
"male","group E","associate's degree","standard","none","82","73","70"
"female","group C","associate's degree","free/reduced","none","42","61","51"
"female","group C","associate's degree","free/reduced","none","55","59","57"
"female","group C","bachelor's degree","free/reduced","none","69","81","84"
"female","group C","master's degree","standard","none","51","54","57"
"female","group C","master's degree","free/reduced","none","54","72","67"
"male","group D","some high school","standard","none","61","46","48"
"male","group B","associate's degree","standard","completed","85","80","82"
"male","group E","associate's degree","standard","none","74","56","56"
"female","group D","some high school","standard","none","69","79","81"
"male","group E","some high school","free/reduced","completed","50","52","52"
"female","group E","some high school","free/reduced","completed","66","84","80"
"male","group C","high school","free/reduced","none","81","70","69"
"male","group B","some high school","free/reduced","completed","79","77","79"
"female","group C","some high school","free/reduced","none","67","80","74"
"female","group D","associate's degree","standard","none","58","58","61"
"female","group C","some high school","free/reduced","none","57","72","70"
"female","group C","some college","free/reduced","none","55","84","82"
"female","group E","high school","free/reduced","completed","77","75","78"
"female","group E","some high school","standard","none","86","94","91"
"male","group B","some college","standard","completed","67","68","67"
"female","group E","bachelor's degree","standard","completed","100","100","100"
"male","group C","bachelor's degree","standard","completed","65","68","64"
"female","group C","bachelor's degree","standard","completed","70","81","77"
"female","group D","master's degree","standard","none","91","88","97"
"male","group B","some college","standard","none","85","84","80"
"female","group C","some college","standard","none","84","83","85"
"female","group C","bachelor's degree","free/reduced","none","55","63","66"
"female","group B","associate's degree","free/reduced","completed","55","76","75"
"female","group A","some high school","standard","none","49","62","62"
"male","group B","some college","standard","completed","88","84","90"
"female","group B","high school","standard","none","45","58","56"
"female","group A","associate's degree","standard","none","53","62","58"
"female","group E","some high school","free/reduced","completed","75","89","88"
"female","group E","some high school","free/reduced","none","34","48","41"
"female","group B","some college","free/reduced","completed","69","82","74"
"male","group B","associate's degree","standard","none","69","67","63"
"male","group E","associate's degree","standard","completed","84","81","81"
"female","group D","some high school","free/reduced","completed","60","67","72"
"male","group C","some high school","free/reduced","completed","69","73","71"
"male","group E","bachelor's degree","free/reduced","none","75","68","71"
"female","group C","high school","standard","none","46","65","60"
"female","group E","some college","standard","none","68","74","68"
"female","group E","some high school","standard","none","57","70","67"
"female","group C","high school","free/reduced","completed","66","79","80"
"male","group C","high school","free/reduced","none","53","60","48"
"female","group A","bachelor's degree","standard","none","62","71","75"
"female","group C","some high school","standard","none","59","76","70"
"female","group A","some college","free/reduced","none","52","64","68"
"female","group D","some college","free/reduced","completed","48","68","69"
"female","group D","bachelor's degree","standard","completed","87","98","97"
"male","group D","master's degree","standard","none","88","88","89"
"male","group D","some high school","standard","completed","91","90","91"
"female","group B","some college","standard","completed","65","82","81"
"male","group C","associate's degree","free/reduced","none","54","63","54"
"female","group C","some college","free/reduced","none","48","59","62"
"male","group E","bachelor's degree","standard","completed","100","89","90"
"male","group C","high school","standard","none","58","62","47"
"male","group B","associate's degree","standard","none","70","66","61"
"female","group A","some college","standard","completed","68","88","91"
"female","group A","master's degree","free/reduced","none","34","43","32"
"male","group C","high school","standard","none","48","47","47"
"male","group C","high school","free/reduced","none","65","65","59"
"male","group C","associate's degree","free/reduced","completed","52","53","53"
"female","group B","associate's degree","free/reduced","completed","47","68","67"
"male","group D","bachelor's degree","standard","none","53","53","49"
"female","group E","associate's degree","standard","none","78","75","70"
"male","group C","bachelor's degree","standard","none","47","54","51"
"female","group C","some college","standard","none","67","79","72"
"male","group D","associate's degree","standard","completed","71","73","75"
"female","group E","bachelor's degree","free/reduced","completed","57","71","66"
"female","group D","high school","standard","none","84","90","91"
"female","group C","associate's degree","standard","none","59","76","76"
"male","group C","high school","free/reduced","completed","44","50","48"
"female","group A","master's degree","standard","none","66","62","69"
"male","group D","some college","standard","none","85","74","78"
"female","group D","bachelor's degree","standard","completed","71","66","77"
"male","group D","some college","standard","completed","90","90","89"
"female","group A","some high school","free/reduced","none","47","57","50"
"female","group E","some high school","standard","completed","60","75","71"
"female","group B","bachelor's degree","standard","none","46","55","60"
"male","group E","some college","free/reduced","none","87","90","84"
"female","group C","associate's degree","standard","completed","90","89","97"
"female","group D","associate's degree","free/reduced","completed","80","89","93"
"female","group C","bachelor's degree","standard","completed","74","85","86"
"female","group D","some college","free/reduced","none","60","67","73"
"female","group C","high school","free/reduced","completed","43","74","72"
"male","group E","some college","standard","completed","86","85","76"
"male","group E","associate's degree","standard","completed","93","85","83"
"male","group A","associate's degree","standard","none","63","64","59"
"male","group C","some high school","free/reduced","none","46","40","37"
"male","group B","master's degree","free/reduced","none","41","53","48"
"female","group D","some college","standard","none","70","82","73"
"female","group A","associate's degree","standard","none","58","68","66"
"male","group E","associate's degree","standard","none","97","86","81"
"male","group E","master's degree","free/reduced","none","93","85","85"
"male","group C","some high school","standard","completed","84","84","81"
"female","group C","high school","standard","none","59","59","64"
"male","group E","master's degree","standard","completed","100","95","100"
"female","group C","high school","standard","completed","68","73","81"
"female","group C","associate's degree","free/reduced","none","67","70","68"
"female","group A","bachelor's degree","standard","none","87","98","100"
"female","group C","some high school","standard","completed","60","74","72"
"female","group D","bachelor's degree","standard","completed","67","86","85"
"female","group D","some college","standard","none","54","56","53"
"female","group C","bachelor's degree","standard","none","50","56","56"
"female","group D","high school","standard","none","74","72","76"
"female","group B","associate's degree","free/reduced","none","53","61","58"
"male","group D","some college","free/reduced","none","62","56","58"
"male","group E","some high school","free/reduced","none","80","68","67"
"female","group A","associate's degree","standard","completed","84","95","95"
"female","group D","high school","free/reduced","none","50","64","59"
"female","group E","some high school","free/reduced","completed","56","72","67"
"male","group C","some high school","free/reduced","none","71","73","66"
"male","group C","high school","standard","none","58","63","56"
"female","group C","associate's degree","standard","none","57","67","69"
"male","group C","associate's degree","free/reduced","none","68","57","55"
"male","group B","some college","free/reduced","completed","51","62","54"
"female","group C","bachelor's degree","standard","completed","78","87","92"
"male","group C","high school","standard","completed","81","81","77"
"female","group D","master's degree","free/reduced","none","52","60","66"
"male","group D","high school","standard","completed","100","89","98"
"male","group C","bachelor's degree","standard","completed","53","65","64"
"female","group D","high school","free/reduced","completed","41","47","50"
"female","group C","some high school","standard","none","62","70","69"
"male","group E","high school","standard","none","71","70","59"
"female","group D","associate's degree","standard","completed","79","92","100"
"female","group E","some college","standard","completed","87","86","88"
"male","group C","high school","standard","completed","65","49","57"
"male","group C","some high school","free/reduced","completed","68","84","82"
"male","group B","associate's degree","standard","none","54","47","42"
"female","group C","some college","standard","none","67","75","68"
"male","group B","some high school","free/reduced","completed","47","57","55"
"female","group A","some college","standard","none","39","54","45"
"male","group C","some college","standard","completed","37","46","38"
"male","group E","some college","free/reduced","none","75","70","68"
"male","group D","some college","free/reduced","none","54","57","50"
"female","group D","high school","free/reduced","completed","75","77","85"
"male","group D","associate's degree","standard","none","70","74","67"
"male","group A","high school","free/reduced","none","65","63","58"
"male","group C","some college","free/reduced","none","80","67","65"
"male","group E","some college","standard","none","84","68","69"
"female","group A","master's degree","free/reduced","completed","74","90","89"
"male","group C","associate's degree","standard","completed","80","77","82"
"male","group D","some college","standard","none","82","74","65"
"female","group C","some high school","free/reduced","completed","50","66","69"
"female","group D","some college","standard","completed","92","99","100"
"male","group D","associate's degree","free/reduced","completed","81","70","76"
